feature,modality,selected_by_EN,perm_imp_mse_increase_train,perm_imp_mse_increase_train_std
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,egemaps,True,0.6099506116886124,0.18811483109002217
whisper__sent_ju_rate,whisper,True,0.6031037195661686,0.203546471313413
F1frequency_sma3nz_stddevNorm,egemaps,True,0.5747361377706934,0.1455872232476499
mfcc1_sma3_stddevNorm,egemaps,True,0.5744689496882833,0.14094744595057973
mfcc3V_sma3nz_amean,egemaps,True,0.5445644416229569,0.13698906756912707
mfcc2V_sma3nz_amean,egemaps,True,0.5129192348583873,0.24169890854600715
whisper__lex_ttr,whisper,True,0.5097879180462382,0.1515214688395347
whisper__sent_ai_rate,whisper,True,0.34662670737612555,0.1014495760734323
loudness_sma3_amean,egemaps,False,0.0,0.0
loudness_sma3_meanRisingSlope,egemaps,False,0.0,0.0
alphaRatioUV_sma3nz_amean,egemaps,False,0.0,0.0
loudness_sma3_pctlrange0-2,egemaps,False,0.0,0.0
spectralFluxUV_sma3nz_amean,egemaps,False,0.0,0.0
loudness_sma3_stddevRisingSlope,egemaps,False,0.0,0.0
loudnessPeaksPerSec,egemaps,False,0.0,0.0
VoicedSegmentsPerSec,egemaps,False,0.0,0.0
loudness_sma3_meanFallingSlope,egemaps,False,0.0,0.0
loudness_sma3_stddevFallingSlope,egemaps,False,0.0,0.0
loudness_sma3_percentile80.0,egemaps,False,0.0,0.0
hammarbergIndexUV_sma3nz_amean,egemaps,False,0.0,0.0
jitterLocal_sma3nz_amean,egemaps,False,0.0,0.0
StddevUnvoicedSegmentLength,egemaps,False,0.0,0.0
equivalentSoundLevel_dBp,egemaps,False,0.0,0.0
whisper__lex_first_person_pl_rate,whisper,False,0.0,0.0
mfcc2V_sma3nz_stddevNorm,egemaps,False,0.0,0.0
whisper__syn_mean_tokens_per_sent,whisper,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,egemaps,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,egemaps,False,0.0,0.0
whisper__sent_hao_rate,whisper,False,0.0,0.0
whisper__sent_e_rate,whisper,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,egemaps,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,egemaps,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,egemaps,False,0.0,0.0
demo__gender_M,demographics,False,0.0,0.0
whisper__lex_negation_rate,whisper,False,0.0,0.0
mfcc1V_sma3nz_amean,egemaps,False,0.0,0.0
mfcc1V_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F1bandwidth_sma3nz_amean,egemaps,False,0.0,0.0
F2bandwidth_sma3nz_amean,egemaps,False,0.0,0.0
F2frequency_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F2frequency_sma3nz_amean,egemaps,False,0.0,0.0
F1amplitudeLogRelF0_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F1amplitudeLogRelF0_sma3nz_amean,egemaps,False,0.0,0.0
F1bandwidth_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F1frequency_sma3nz_amean,egemaps,False,0.0,0.0
F2amplitudeLogRelF0_sma3nz_amean,egemaps,False,0.0,0.0
logRelF0-H1-A3_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc2_sma3_amean,egemaps,False,0.0,0.0
mfcc3_sma3_amean,egemaps,False,0.0,0.0
HNRdBACF_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc3_sma3_stddevNorm,egemaps,False,0.0,0.0
mfcc4_sma3_amean,egemaps,False,0.0,0.0
F2bandwidth_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F2amplitudeLogRelF0_sma3nz_stddevNorm,egemaps,False,0.0,0.0
jitterLocal_sma3nz_stddevNorm,egemaps,False,0.0,0.0
hammarbergIndexV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
spectralFluxV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
spectralFluxV_sma3nz_amean,egemaps,False,0.0,0.0
spectralFlux_sma3_amean,egemaps,False,0.0,0.0
spectralFlux_sma3_stddevNorm,egemaps,False,0.0,0.0
slopeV0-500_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc1_sma3_amean,egemaps,False,0.0,0.0
hammarbergIndexV_sma3nz_amean,egemaps,False,0.0,0.0
F3frequency_sma3nz_amean,egemaps,False,0.0,0.0
alphaRatioV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
alphaRatioV_sma3nz_amean,egemaps,False,0.0,0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F3amplitudeLogRelF0_sma3nz_amean,egemaps,False,0.0,0.0
F3bandwidth_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F3bandwidth_sma3nz_amean,egemaps,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_amean,egemaps,False,0.0,0.0
